amc,year,month,status,description,source_page,download_url,file_path,error
Navi Mutual Fund,2025,08,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://navi.com/mutual-fund/downloads/portfolio,https://public-assets.prod.navi-tech.in/navi-website-assests/documents/Navi%20Aggressive%20Hybrid%20Fund%201st%20-%2031st%20August%202025_20250910153244.xlsx,data\raw\navi\2025-08,Status: INCOMPLETE
Navi Mutual Fund,2025,09,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://navi.com/mutual-fund/downloads/portfolio,https://public-assets.prod.navi-tech.in/navi-website-assests/documents/Navi%20Aggressive%20Hybrid%20Fund%201st-30th%20September%202025_20251010163939.xlsx,data\raw\navi\2025-09,Status: INCOMPLETE
Nippon India Mutual Fund,2024,05,UNKNOWN_ERROR,Unexpected failure (exit 1): UnicodeEncodeError: 'charmap' codec can't encode character '\u200b' in position 137: character maps to <undefined> [attempt 4/4],https://mf.nipponindiaim.com/investor-service/downloads/factsheet-portfolio-and-other-disclosures,https://mf.nipponindiaim.com/InvestorServices/FactsheetsDocuments/NIMF-MONTHLY-PORTFOLIO-May-24.xlsx,,UnicodeEncodeError: 'charmap' codec can't encode character '\u200b' in position 137: character maps to <undefined>
PGIM India Mutual Fund,2018,05,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/Monthly Portfolio may 2018.xlsb,data\raw\pgim\2018-05,Status: DOWNLOAD_FAILED
PGIM India Mutual Fund,2019,06,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/Monthly Portfolio jun 2019.xlsb,data\raw\pgim\2019-06,Status: DOWNLOAD_FAILED
PGIM India Mutual Fund,2019,07,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/Monthly Portfolio jul 2019.xlsb,data\raw\pgim\2019-07,Status: DOWNLOAD_FAILED
PGIM India Mutual Fund,2020,09,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/Monthly Portfolio sep 2020.xlsb,data\raw\pgim\2020-09,Status: DOWNLOAD_FAILED
PGIM India Mutual Fund,2021,07,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund jul 2021.xlsb,data\raw\pgim\2021-07,Status: INCOMPLETE
PGIM India Mutual Fund,2021,08,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund aug 2021.xlsb,data\raw\pgim\2021-08,Status: INCOMPLETE
PGIM India Mutual Fund,2021,09,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund sep 2021.xlsb,data\raw\pgim\2021-09,Status: INCOMPLETE
PGIM India Mutual Fund,2022,01,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund jan 2022.xlsb,data\raw\pgim\2022-01,Status: INCOMPLETE
PGIM India Mutual Fund,2022,08,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund aug 2022.xlsb,data\raw\pgim\2022-08,Status: INCOMPLETE
PGIM India Mutual Fund,2022,09,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund sep 2022.xlsb,data\raw\pgim\2022-09,Status: INCOMPLETE
PGIM India Mutual Fund,2023,02,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund feb 2023.xlsb,data\raw\pgim\2023-02,Status: INCOMPLETE
PGIM India Mutual Fund,2023,11,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund nov 2023.xlsb,data\raw\pgim\2023-11,Status: INCOMPLETE
PGIM India Mutual Fund,2024,01,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/pgim-india-arbitrage-fund jan 2024.xlsb,data\raw\pgim\2024-01,Status: INCOMPLETE
PGIM India Mutual Fund,2024,02,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/PGIM INDIA CRISIL IBX GILT INDEX APR 28 Feb 2024.xlsb,data\raw\pgim\2024-02,Status: INCOMPLETE
PGIM India Mutual Fund,2024,03,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.pgimindia.com/mutual-funds/disclosures/Portfolios/Monthly-Portfolio,https://www.pgimindia.com/api/v1/brochure/about-us/image/PGIM INDIA CRISIL IBX GILT INDEX APR 28 Mar 2024.xlsb,data\raw\pgim\2024-03,Status: INCOMPLETE
UTI Mutual Fund,2017,09,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://www.utimf.com/downloads/consolidate-all-portfolio-disclosure,https://www.utimf.com/downloads/documents/ConsolidatePortfolioDisclosure/pf-utimf-Sept 2017-091017.zip,data\raw\uti\2017-09,Status: DOWNLOAD_FAILED
UTI Mutual Fund,2019,04,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://www.utimf.com/downloads/consolidate-all-portfolio-disclosure,https://doc.utimf.com/v1/AUTH_5b9dd00b-8132-4a21-a800-711111810cee/UTIContainer/Consolidated Portfolio April 201920190509-115505.zip,data\raw\uti\2019-04,Status: DOWNLOAD_FAILED
UTI Mutual Fund,2019,05,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://www.utimf.com/downloads/consolidate-all-portfolio-disclosure,https://doc.utimf.com/v1/AUTH_5b9dd00b-8132-4a21-a800-711111810cee/UTIContainer/Consolidated Portfolio May 201920190610-104833.zip,data\raw\uti\2019-05,Status: DOWNLOAD_FAILED
UTI Mutual Fund,2024,01,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: UTI catalogue has no consolidated portfolio disclosure for 2024-01,,,,
UTI Mutual Fund,2024,02,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: UTI catalogue has no consolidated portfolio disclosure for 2024-02,,,,
UTI Mutual Fund,2024,03,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: UTI catalogue has no consolidated portfolio disclosure for 2024-03,,,,
UTI Mutual Fund,2024,04,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: UTI catalogue has no consolidated portfolio disclosure for 2024-04,,,,
UTI Mutual Fund,2024,05,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: UTI catalogue has no consolidated portfolio disclosure for 2024-05,,,,
UTI Mutual Fund,2024,06,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: UTI catalogue has no consolidated portfolio disclosure for 2024-06,,,,
UTI Mutual Fund,2024,07,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: UTI catalogue has no consolidated portfolio disclosure for 2024-07,,,,
UTI Mutual Fund,2024,08,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: UTI catalogue has no consolidated portfolio disclosure for 2024-08,,,,
UTI Mutual Fund,2024,09,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: UTI catalogue has no consolidated portfolio disclosure for 2024-09,,,,
UTI Mutual Fund,2024,10,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: UTI catalogue has no consolidated portfolio disclosure for 2024-10,,,,
UTI Mutual Fund,2024,11,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: UTI catalogue has no consolidated portfolio disclosure for 2024-11,,,,
UTI Mutual Fund,2024,12,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: UTI catalogue has no consolidated portfolio disclosure for 2024-12,,,,
